"# of Use","Utilisation numéro #",,"# of Use",WAHR
"Catalog Product Image Gallery Popup","Popup Galerie d'Images du Produit du Catalogue",,"Catalog Product Image Gallery Popup",WAHR
"Catalog Product Link","Lien du Produit Catalogue",,"Catalog Product Link",WAHR
"Catalog Product View (Any)","Affichage du Produit Catalogue (Tous)",,"Catalog Product View (Any)",WAHR
"Catalog Product View (Configurable)","Affichage du Produit Catalogue (Configurable)",,"Catalog Product View (Configurable)",WAHR
"Catalog Product View (Grouped)","Affichage du Produit Catalogue (Groupé)",,"Catalog Product View (Grouped)",WAHR
"Catalog Product View (Simple)","Affichage du Produit Catalogue (Simple)",,"Catalog Product View (Simple)",WAHR
"Catalog Product View (Virtual)","Affichage du Produit Catalogue (Virtuel)",,"Catalog Product View (Virtual)",WAHR
"Catalog Section","Section Catalogue",,"Catalog Section",WAHR
"Catalog Seo Sitemap (Category List)","Catalogue SEO Plan du Site (Liste des catégories)",,"Catalog Seo Sitemap (Category List)",WAHR
"Catalog Seo Sitemap (Category Tree)","Catalogue SEO Plan du Site (Arbre des catégories)",,"Catalog Seo Sitemap (Category Tree)",WAHR
"Catalog Seo Sitemap (Common)","Catalogue SEO Plan du Site (Courant)",,"Catalog Seo Sitemap (Common)",WAHR
"Catalog Seo Sitemap (Product List)","Catalogue SEO Plan du Site (Liste des Produits)",,"Catalog Seo Sitemap (Product List)",WAHR
"Catalog URL Rewrites","Catalogue Réécritures URL",,"Catalog URL Rewrites",WAHR
"Catalog product custom option values API","Interface de Programmation Applicative (API) des valeurs de l'option personnalisée des produits du catalogue",,"Catalog product custom option values API",WAHR
"Catalog product custom options API","Interface de Programmation Applicative (API) des options personnalisées des produits du catalogue",,"Catalog product custom options API",WAHR
"Catalog, Search","Catalogue, Recherche",,"Catalog, Search",WAHR
"Categories","catégories",,"Categories",WAHR
"Categories Sitemap","Catégories Plan du Site",,"Categories Sitemap",WAHR
"Category","Catégorie",,"Category",WAHR
"Category API","Catégorie API",,"Category API",WAHR
"Category Data","Données de la Catégorie",,"Category Data",WAHR
"Category Flat Data","Données Fixes de la Catégorie",,"Category Flat Data",WAHR
"Category Link Block Template","Bloc Modèle du Lien de la Catégorie",,"Category Link Block Template",WAHR
"Category Link Inline Template","Modèle Préféré du Lien de la Catégorie",,"Category Link Inline Template",WAHR
"Category Products","Produits de la Catégorie",,"Category Products",WAHR
"Category Top Navigation","Haut de la Catégorie Navigation",,"Category Top Navigation",WAHR
"Category URL Suffix","Suffixe de l'URL de la Catégorie",,"Category URL Suffix",WAHR
"Category attributes API","Attributs API de la Catégorie",,"Category attributes API",WAHR
"Category move error","Erreur de déplacement de catégorie",,"Category move error",WAHR
"Category move error %s","Erreur %s de déplacement de catégorie",,"Category move error %s",WAHR
"Category move operation is not possible: parent category is equal to child category.","L'opération de déplacement de catégorie n'est pas possible : la catégorie parent est la même que la catégorie enfant.",,"Category move operation is not possible: parent category is equal to child category.",WAHR
